State,ProjectType,ReportingPeriod,FundingAmount
6,4,2014,24311.05
6,4,2014,6069.84
6,4,2014,30000.0
6,4,2014,31488.66
6,4,2014,15674.47
6,4,2014,161950.58
6,4,2014,4822.61
6,4,2014,50000.0
6,4,2014,28000.0
6,4,2014,62817.93
6,4,2014,40000.0
6,4,2014,38013.88
6,4,2014,28500.0
6,4,2014,54000.0
6,4,2014,25000.0
6,4,2014,30000.0
6,4,2014,20000.0
6,4,2014,73000.0
6,4,2014,30000.0
6,4,2014,61680.0
6,4,2014,21068.7
6,4,2014,27000.0
6,4,2014,105000.0
6,4,2014,1381.69
6,4,2014,4480.0
6,4,2014,63300.0
6,4,2014,26000.0
6,4,2014,14690.0
6,4,2014,104125.0
6,4,2014,5000.0
6,4,2014,2376.48
6,4,2014,19068.04
6,4,2014,71000.0
6,4,2014,44640.0
6,4,2014,30882.51
6,4,2014,18747.34
6,4,2014,52087.28
6,4,2014,29878.2
6,4,2014,6000.0
6,4,2014,17554.86
6,4,2014,5900.0
6,4,2014,14009.11
6,4,2014,18000.0
6,4,2014,38000.0
6,4,2014,5081.0
6,4,2014,65000.0
6,4,2014,9000.0
6,4,2014,72000.0
6,4,2014,4680.0
6,4,2014,18330.06
6,4,2014,6808.07
6,4,2014,76000.0
6,4,2014,4500.0
6,4,2014,45000.0
6,4,2014,7837.71
6,4,2014,84000.0
6,4,2014,30750.0
6,4,2014,17800.35
6,4,2014,25041.88
6,4,2014,76000.0
6,4,2014,45900.0
6,4,2014,6635.18
8,6,2014,3049080.0
10,19,2014,5459.0
10,19,2014,10942.0
10,19,2014,10998.0
10,19,2014,4327.0
10,6,2014,81587.0
10,19,2014,10969.0
10,6,2014,43435.0
10,6,2014,81271.0
10,6,2014,45893.64
10,6,2014,174816.62
10,19,2014,5408.0
10,6,2014,333062.92
10,6,2014,29768.66
10,6,2014,71400.87
10,6,2014,74926.0
10,6,2014,69990.98
10,6,2014,102784.03
10,6,2014,51995.0
10,6,2014,56520.83
10,6,2014,54669.0
10,6,2014,158246.43
10,6,2014,100154.62
10,19,2014,13054.0
10,6,2014,64060.0
10,19,2014,10909.0
10,6,2014,53480.99
10,19,2014,5699.0
10,6,2014,50438.0
10,6,2014,41544.02
10,6,2014,42365.0
10,6,2014,54702.0
10,6,2014,43686.0
10,6,2014,46178.0
10,6,2014,46259.19
10,6,2014,78264.0
10,19,2014,10981.0
10,6,2014,58113.0
10,6,2014,250572.0
10,19,2014,10907.0
10,6,2014,41107.0
10,6,2014,75464.16
10,19,2014,5461.0
10,6,2014,49606.45
10,6,2014,54746.0
10,6,2014,41575.62
10,6,2014,88397.0
10,6,2014,145707.7
10,19,2014,4485.0
10,6,2014,85840.0
10,6,2014,58573.58
10,19,2014,5474.0
10,6,2014,40037.0
10,6,2014,44100.0
10,6,2014,112385.0
10,6,2014,94261.0
10,19,2014,10851.0
10,6,2014,55476.48
10,6,2014,429515.0
10,6,2014,66349.0
10,6,2014,63628.0
10,19,2014,10928.0
10,6,2014,83913.0
10,6,2014,46355.0
10,6,2014,216634.69
10,19,2014,11215.0
